Age,DailyRate,Department,EducationField,Gender,MaritalStatus,MonthlyRate,OverTime
41,1102,Sales,Life Sciences,Female,Single,19479,Yes
49,279,Research & Development,Life Sciences,Male,Married,24907,No
37,1373,Research & Development,Other,Male,Single,2396,Yes
33,1392,Research & Development,Life Sciences,Female,Married,23159,Yes
27,591,Research & Development,Medical,Male,Married,16632,No
32,1005,Research & Development,Life Sciences,Male,Single,11864,No
59,1324,Research & Development,Medical,Female,Married,9964,Yes
30,1358,Research & Development,Life Sciences,Male,Divorced,13335,No
38,216,Research & Development,Life Sciences,Male,Single,8787,No
36,1299,Research & Development,Medical,Male,Married,16577,No
35,809,Research & Development,Medical,Male,Married,16479,No
29,153,Research & Development,Life Sciences,Female,Single,12682,Yes
31,670,Research & Development,Life Sciences,Male,Divorced,15170,No
34,1346,Research & Development,Medical,Male,Divorced,8758,No
28,103,Research & Development,Life Sciences,Male,Single,12947,Yes
29,1389,Research & Development,Life Sciences,Female,Divorced,10195,No
32,334,Research & Development,Life Sciences,Male,Divorced,15053,Yes
22,1123,Research & Development,Medical,Male,Divorced,7324,Yes
53,1219,Sales,Life Sciences,Female,Married,22021,No
38,371,Research & Development,Life Sciences,Male,Single,4306,Yes
24,673,Research & Development,Other,Female,Divorced,8232,No
36,1218,Sales,Life Sciences,Male,Single,6986,No
34,419,Research & Development,Life Sciences,Female,Single,21293,No
21,391,Research & Development,Life Sciences,Male,Single,19281,No
34,699,Research & Development,Medical,Male,Single,17102,No
53,1282,Research & Development,Other,Female,Divorced,10735,No
32,1125,Research & Development,Life Sciences,Female,Single,4681,Yes
42,691,Sales,Marketing,Male,Married,21173,No
44,477,Research & Development,Medical,Female,Married,2094,No
46,705,Sales,Marketing,Female,Single,22822,No
33,924,Research & Development,Medical,Male,Single,6670,No
44,1459,Research & Development,Other,Male,Married,19121,Yes
30,125,Research & Development,Medical,Male,Single,16117,No
39,895,Sales,Technical Degree,Male,Married,3335,No
24,813,Research & Development,Medical,Male,Married,3020,Yes
43,1273,Research & Development,Medical,Female,Divorced,21923,No
50,869,Sales,Marketing,Male,Married,3810,Yes
35,890,Sales,Marketing,Female,Married,9687,No
36,852,Research & Development,Life Sciences,Female,Married,13072,Yes
33,1141,Sales,Life Sciences,Female,Married,3193,No
35,464,Research & Development,Other,Male,Divorced,10910,No
27,1240,Research & Development,Life Sciences,Female,Divorced,19715,No
26,1357,Research & Development,Life Sciences,Male,Single,10558,No
27,994,Sales,Life Sciences,Male,Single,2975,No
30,721,Research & Development,Medical,Female,Single,10781,No
41,1360,Research & Development,Technical Degree,Female,Married,16280,No
34,1065,Sales,Marketing,Male,Single,10034,No
37,408,Research & Development,Life Sciences,Male,Married,10227,No
46,1211,Sales,Marketing,Male,Single,20445,Yes
35,1229,Research & Development,Life Sciences,Male,Married,4892,No
48,626,Research & Development,Life Sciences,Male,Single,19294,Yes
28,1434,Research & Development,Technical Degree,Male,Single,11179,Yes
44,1488,Sales,Marketing,Female,Divorced,4009,Yes
35,1097,Research & Development,Medical,Male,Married,8302,Yes
26,1443,Sales,Marketing,Female,Married,21436,Yes
33,515,Research & Development,Life Sciences,Female,Single,15146,Yes
35,853,Sales,Life Sciences,Male,Married,11031,No
35,1142,Research & Development,Medical,Female,Married,16002,Yes
31,655,Research & Development,Life Sciences,Male,Divorced,9528,No
37,1115,Research & Development,Life Sciences,Male,Divorced,2689,No
32,427,Research & Development,Medical,Male,Married,10877,Yes
38,653,Research & Development,Life Sciences,Female,Single,5456,No
50,989,Research & Development,Medical,Female,Divorced,16701,Yes
59,1435,Sales,Life Sciences,Female,Single,2354,No
36,1223,Research & Development,Technical Degree,Female,Divorced,8202,No
55,836,Research & Development,Medical,Female,Divorced,19730,Yes
36,1195,Research & Development,Life Sciences,Male,Single,22656,No
45,1339,Research & Development,Life Sciences,Male,Divorced,18787,No
35,664,Research & Development,Medical,Male,Married,5868,No
36,318,Research & Development,Medical,Male,Married,21777,Yes
59,1225,Sales,Life Sciences,Female,Single,24668,No
